2024-09-04 23:08:40 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2024-09-04 23:08:40 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2024-09-04 23:08:40 install binutils:amd64 <none> 2.40-2
2024-09-04 23:08:40 status half-installed binutils:amd64 2.40-2
2024-09-04 23:08:40 status unpacked binutils:amd64 2.40-2
2024-09-04 23:08:40 install libisl23:amd64 <none> 0.25-1.1
2024-09-04 23:08:40 status half-installed libisl23:amd64 0.25-1.1
2024-09-04 23:08:40 status unpacked libisl23:amd64 0.25-1.1
2024-09-04 23:08:40 install libmpfr6:amd64 <none> 4.2.0-1
2024-09-04 23:08:40 status half-installed libmpfr6:amd64 4.2.0-1
2024-09-04 23:08:40 status unpacked libmpfr6:amd64 4.2.0-1
2024-09-04 23:08:40 install libmpc3:amd64 <none> 1.3.1-1
2024-09-04 23:08:40 status half-installed libmpc3:amd64 1.3.1-1
2024-09-04 23:08:40 status unpacked libmpc3:amd64 1.3.1-1
2024-09-04 23:08:40 install cpp-12:amd64 <none> 12.2.0-14
2024-09-04 23:08:40 status half-installed cpp-12:amd64 12.2.0-14
2024-09-04 23:08:41 status unpacked cpp-12:amd64 12.2.0-14
2024-09-04 23:08:41 install cpp:amd64 <none> 4:12.2.0-3
2024-09-04 23:08:41 status half-installed cpp:amd64 4:12.2.0-3
2024-09-04 23:08:41 status unpacked cpp:amd64 4:12.2.0-3
2024-09-04 23:08:41 install libassuan0:amd64 <none> 2.5.5-5
2024-09-04 23:08:41 status half-installed libassuan0:amd64 2.5.5-5
2024-09-04 23:08:41 status unpacked libassuan0:amd64 2.5.5-5
2024-09-04 23:08:41 install libreadline8:amd64 <none> 8.2-1.3
2024-09-04 23:08:41 status half-installed libreadline8:amd64 8.2-1.3
2024-09-04 23:08:41 status unpacked libreadline8:amd64 8.2-1.3
2024-09-04 23:08:41 install gpgconf:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:41 status half-installed gpgconf:amd64 2.2.40-1.1
2024-09-04 23:08:41 status unpacked gpgconf:amd64 2.2.40-1.1
2024-09-04 23:08:41 install libksba8:amd64 <none> 1.6.3-2
2024-09-04 23:08:41 status half-installed libksba8:amd64 1.6.3-2
2024-09-04 23:08:41 status unpacked libksba8:amd64 1.6.3-2
2024-09-04 23:08:41 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2024-09-04 23:08:41 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-04 23:08:41 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-04 23:08:41 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2024-09-04 23:08:41 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-04 23:08:41 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-04 23:08:41 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2024-09-04 23:08:41 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-04 23:08:41 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-04 23:08:41 install libnpth0:amd64 <none> 1.6-3
2024-09-04 23:08:41 status half-installed libnpth0:amd64 1.6-3
2024-09-04 23:08:41 status unpacked libnpth0:amd64 1.6-3
2024-09-04 23:08:41 install dirmngr:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:41 status half-installed dirmngr:amd64 2.2.40-1.1
2024-09-04 23:08:41 status unpacked dirmngr:amd64 2.2.40-1.1
2024-09-04 23:08:41 install libdpkg-perl:all <none> 1.21.22
2024-09-04 23:08:41 status half-installed libdpkg-perl:all 1.21.22
2024-09-04 23:08:41 status unpacked libdpkg-perl:all 1.21.22
2024-09-04 23:08:41 install patch:amd64 <none> 2.7.6-7
2024-09-04 23:08:41 status half-installed patch:amd64 2.7.6-7
2024-09-04 23:08:41 status unpacked patch:amd64 2.7.6-7
2024-09-04 23:08:41 install make:amd64 <none> 4.3-4.1
2024-09-04 23:08:41 status half-installed make:amd64 4.3-4.1
2024-09-04 23:08:41 status unpacked make:amd64 4.3-4.1
2024-09-04 23:08:41 install dpkg-dev:all <none> 1.21.22
2024-09-04 23:08:41 status half-installed dpkg-dev:all 1.21.22
2024-09-04 23:08:41 status unpacked dpkg-dev:all 1.21.22
2024-09-04 23:08:41 install fonts-dejavu-core:all <none> 2.37-6
2024-09-04 23:08:41 status half-installed fonts-dejavu-core:all 2.37-6
2024-09-04 23:08:41 status unpacked fonts-dejavu-core:all 2.37-6
2024-09-04 23:08:41 install fontconfig-config:amd64 <none> 2.14.1-4
2024-09-04 23:08:41 status half-installed fontconfig-config:amd64 2.14.1-4
2024-09-04 23:08:41 status unpacked fontconfig-config:amd64 2.14.1-4
2024-09-04 23:08:41 install libcc1-0:amd64 <none> 12.2.0-14
2024-09-04 23:08:41 status half-installed libcc1-0:amd64 12.2.0-14
2024-09-04 23:08:41 status unpacked libcc1-0:amd64 12.2.0-14
2024-09-04 23:08:41 install libgomp1:amd64 <none> 12.2.0-14
2024-09-04 23:08:41 status half-installed libgomp1:amd64 12.2.0-14
2024-09-04 23:08:41 status unpacked libgomp1:amd64 12.2.0-14
2024-09-04 23:08:41 install libitm1:amd64 <none> 12.2.0-14
2024-09-04 23:08:41 status half-installed libitm1:amd64 12.2.0-14
2024-09-04 23:08:41 status unpacked libitm1:amd64 12.2.0-14
2024-09-04 23:08:41 install libatomic1:amd64 <none> 12.2.0-14
2024-09-04 23:08:41 status half-installed libatomic1:amd64 12.2.0-14
2024-09-04 23:08:41 status unpacked libatomic1:amd64 12.2.0-14
2024-09-04 23:08:41 install libasan8:amd64 <none> 12.2.0-14
2024-09-04 23:08:41 status half-installed libasan8:amd64 12.2.0-14
2024-09-04 23:08:42 status unpacked libasan8:amd64 12.2.0-14
2024-09-04 23:08:42 install liblsan0:amd64 <none> 12.2.0-14
2024-09-04 23:08:42 status half-installed liblsan0:amd64 12.2.0-14
2024-09-04 23:08:42 status unpacked liblsan0:amd64 12.2.0-14
2024-09-04 23:08:42 install libtsan2:amd64 <none> 12.2.0-14
2024-09-04 23:08:42 status half-installed libtsan2:amd64 12.2.0-14
2024-09-04 23:08:42 status unpacked libtsan2:amd64 12.2.0-14
2024-09-04 23:08:42 install libubsan1:amd64 <none> 12.2.0-14
2024-09-04 23:08:42 status half-installed libubsan1:amd64 12.2.0-14
2024-09-04 23:08:42 status unpacked libubsan1:amd64 12.2.0-14
2024-09-04 23:08:42 install libquadmath0:amd64 <none> 12.2.0-14
2024-09-04 23:08:42 status half-installed libquadmath0:amd64 12.2.0-14
2024-09-04 23:08:42 status unpacked libquadmath0:amd64 12.2.0-14
2024-09-04 23:08:42 install libgcc-12-dev:amd64 <none> 12.2.0-14
2024-09-04 23:08:42 status half-installed libgcc-12-dev:amd64 12.2.0-14
2024-09-04 23:08:42 status unpacked libgcc-12-dev:amd64 12.2.0-14
2024-09-04 23:08:42 install gcc-12:amd64 <none> 12.2.0-14
2024-09-04 23:08:42 status half-installed gcc-12:amd64 12.2.0-14
2024-09-04 23:08:43 status unpacked gcc-12:amd64 12.2.0-14
2024-09-04 23:08:43 install gcc:amd64 <none> 4:12.2.0-3
2024-09-04 23:08:43 status half-installed gcc:amd64 4:12.2.0-3
2024-09-04 23:08:43 status unpacked gcc:amd64 4:12.2.0-3
2024-09-04 23:08:43 install gnupg-l10n:all <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-09-04 23:08:43 install gnupg-utils:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gnupg-utils:amd64 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-09-04 23:08:43 install libsqlite3-0:amd64 <none> 3.40.1-2
2024-09-04 23:08:43 status half-installed libsqlite3-0:amd64 3.40.1-2
2024-09-04 23:08:43 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-09-04 23:08:43 install gpg:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gpg:amd64 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gpg:amd64 2.2.40-1.1
2024-09-04 23:08:43 install libncursesw6:amd64 <none> 6.4-4
2024-09-04 23:08:43 status half-installed libncursesw6:amd64 6.4-4
2024-09-04 23:08:43 status unpacked libncursesw6:amd64 6.4-4
2024-09-04 23:08:43 install pinentry-curses:amd64 <none> 1.2.1-1
2024-09-04 23:08:43 status half-installed pinentry-curses:amd64 1.2.1-1
2024-09-04 23:08:43 status unpacked pinentry-curses:amd64 1.2.1-1
2024-09-04 23:08:43 install gpg-agent:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-09-04 23:08:43 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-09-04 23:08:43 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-09-04 23:08:43 install gpgsm:amd64 <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gpgsm:amd64 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gpgsm:amd64 2.2.40-1.1
2024-09-04 23:08:43 install gnupg:all <none> 2.2.40-1.1
2024-09-04 23:08:43 status half-installed gnupg:all 2.2.40-1.1
2024-09-04 23:08:43 status unpacked gnupg:all 2.2.40-1.1
2024-09-04 23:08:43 install libbluetooth3:amd64 <none> 5.66-1+deb12u2
2024-09-04 23:08:43 status half-installed libbluetooth3:amd64 5.66-1+deb12u2
2024-09-04 23:08:43 status unpacked libbluetooth3:amd64 5.66-1+deb12u2
2024-09-04 23:08:43 install libc-dev-bin:amd64 <none> 2.36-9+deb12u8
2024-09-04 23:08:43 status half-installed libc-dev-bin:amd64 2.36-9+deb12u8
2024-09-04 23:08:43 status unpacked libc-dev-bin:amd64 2.36-9+deb12u8
2024-09-04 23:08:43 install linux-libc-dev:amd64 <none> 6.1.106-3
2024-09-04 23:08:43 status half-installed linux-libc-dev:amd64 6.1.106-3
2024-09-04 23:08:43 status unpacked linux-libc-dev:amd64 6.1.106-3
2024-09-04 23:08:43 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2024-09-04 23:08:43 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2024-09-04 23:08:43 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2024-09-04 23:08:43 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2024-09-04 23:08:43 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-09-04 23:08:43 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-09-04 23:08:43 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2024-09-04 23:08:43 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-09-04 23:08:43 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-09-04 23:08:43 install libkeyutils1:amd64 <none> 1.6.3-2
2024-09-04 23:08:43 status half-installed libkeyutils1:amd64 1.6.3-2
2024-09-04 23:08:43 status unpacked libkeyutils1:amd64 1.6.3-2
2024-09-04 23:08:43 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2024-09-04 23:08:43 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-09-04 23:08:44 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-09-04 23:08:44 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2024-09-04 23:08:44 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-09-04 23:08:44 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
